"","key","entidad_federativa","municipio","mean_consum_kwh","population","demand"
"1",1001,"Aguascalientes","Aguascalientes",38979823.0625,948990,41.0750619737827
"2",1002,"Aguascalientes","Asientos",1576416.59375,51536,30.5886485903058
"3",1003,"Aguascalientes","Calvillo",2286134.125,58250,39.2469377682403
"4",1004,"Aguascalientes","Cosío",506819.125,17000,29.8128897058824
"5",1005,"Aguascalientes","Jesús María",2637913.7109375,129929,20.3027323456465
"6",1006,"Aguascalientes","Pabellón de Arteaga",1588270.8125,47646,33.3348195546321
"7",1007,"Aguascalientes","Rincón de Romos",1867149.890625,57369,32.5463210204989
"8",1008,"Aguascalientes","San José de Gracia",299856.21875,9552,31.3919826999581
"9",1009,"Aguascalientes","Tepezalá",664423.15625,22485,29.5496178007561
"10",1010,"Aguascalientes","El Llano",865126.53125,20853,41.4869098570949
"11",1011,"Aguascalientes","San Francisco de los Romo",1484331.28125,61997,23.9419856001097
"12",2001,"Baja California","Ensenada",30244526.25,443807,68.1479252242529
"13",2002,"Baja California","Mexicali",257525981.078125,1049792,245.311434148979
"14",2003,"Baja California","Tecate",7379406.21875,108440,68.050592205367
"15",2004,"Baja California","Tijuana",98722935.40625,1922523,51.3507174719106
"16",2005,"Baja California","Playas de Rosarito",7439401.78125,126890,58.6287475864922
"17",3001,"Baja California Sur","Comondú",6080437.078125,73021,83.2697043059531
"18",3002,"Baja California Sur","Mulegé",5411210.46875,64022,84.5211094428478
"19",3003,"Baja California Sur","La Paz",21655553.734375,292241,74.1016959782337
"20",3008,"Baja California Sur","Los Cabos",35378747.421875,351111,100.762287202267
"21",3009,"Baja California Sur","Loreto",2377440.7265625,18052,131.699574925908
"22",4001,"Campeche","Calkiní",2736804.21875,59232,46.2048254110954
"23",4002,"Campeche","Campeche",24546343.359375,294077,83.4691028518891
"24",4003,"Campeche","Carmen",16497495.0078125,248845,66.296268793074
"25",4004,"Campeche","Champotón",4469463.1875,78170,57.1761953115006
"26",4005,"Campeche","Hecelchakán",1373815.828125,31917,43.0433884176144
"27",4006,"Campeche","Hopelchén",1450424.71875,42140,34.4191912375415
